Symbol,Name,liveprice,volume_inmill,fiftydaymovavg,twohundaymovavg,prevdayclosingprice,DailyPrice,Date
LIFE,"aTyr Pharma, Inc.",4.195000171661377,0.013415,5.028599996566772,6.5853750133514408,4.1599998474121094,5.2300000190734863,2022-04-07
LIFE,"aTyr Pharma, Inc.",4.195000171661377,0.013415,5.028599996566772,6.5853750133514408,4.1599998474121094,5.3600001335144043,2022-04-06
LIFE,"aTyr Pharma, Inc.",4.195000171661377,0.013415,5.028599996566772,6.5853750133514408,4.1599998474121094,5.5100002288818359,2022-04-05
LIFE,"aTyr Pharma, Inc.",4.195000171661377,0.013415,5.028599996566772,6.5853750133514408,4.1599998474121094,5.6100001335144043,2022-04-04
HOOD,"Robinhood Markets, Inc.",9.9499998092651367,8.496675,11.891900081634521,26.551439744639772,9.8050003051757813,10.005000114440918,2022-05-02
HOOD,"Robinhood Markets, Inc.",9.9499998092651367,8.496675,11.891900081634521,26.551439744639772,9.8050003051757813,9.8050003051757813,2022-04-29
HOOD,"Robinhood Markets, Inc.",9.9499998092651367,8.496675,11.891900081634521,26.551439744639772,9.8050003051757813,10.090000152587891,2022-04-28
HOOD,"Robinhood Markets, Inc.",9.9499998092651367,8.496675,11.891900081634521,26.551439744639772,9.8050003051757813,9.5100002288818359,2022-04-27
HOOD,"Robinhood Markets, Inc.",9.9499998092651367,8.496675,11.891900081634521,26.551439744639772,9.8050003051757813,10,2022-04-26
HOOD,"Robinhood Markets, Inc.",9.9499998092651367,8.496675,11.891900081634521,26.551439744639772,9.8050003051757813,10.390000343322754,2022-04-25
HOOD,"Robinhood Markets, Inc.",9.9499998092651367,8.496675,11.891900081634521,26.551439744639772,9.8050003051757813,10.260000228881836,2022-04-22
HOOD,"Robinhood Markets, Inc.",9.9499998092651367,8.496675,11.891900081634521,26.551439744639772,9.8050003051757813,10.4399995803833,2022-04-21
HOOD,"Robinhood Markets, Inc.",9.9499998092651367,8.496675,11.891900081634521,26.551439744639772,9.8050003051757813,10.710000038146973,2022-04-20
HOOD,"Robinhood Markets, Inc.",9.9499998092651367,8.496675,11.891900081634521,26.551439744639772,9.8050003051757813,11.5600004196167,2022-04-19
HOOD,"Robinhood Markets, Inc.",9.9499998092651367,8.496675,11.891900081634521,26.551439744639772,9.8050003051757813,10.989999771118164,2022-04-18
HOOD,"Robinhood Markets, Inc.",9.9499998092651367,8.496675,11.891900081634521,26.551439744639772,9.8050003051757813,11.380000114440918,2022-04-14
HOOD,"Robinhood Markets, Inc.",9.9499998092651367,8.496675,11.891900081634521,26.551439744639772,9.8050003051757813,11.890000343322754,2022-04-13
HOOD,"Robinhood Markets, Inc.",9.9499998092651367,8.496675,11.891900081634521,26.551439744639772,9.8050003051757813,11.430000305175781,2022-04-12
HOOD,"Robinhood Markets, Inc.",9.9499998092651367,8.496675,11.891900081634521,26.551439744639772,9.8050003051757813,11.350000381469727,2022-04-11
HOOD,"Robinhood Markets, Inc.",9.9499998092651367,8.496675,11.891900081634521,26.551439744639772,9.8050003051757813,11.239999771118164,2022-04-08
HOOD,"Robinhood Markets, Inc.",9.9499998092651367,8.496675,11.891900081634521,26.551439744639772,9.8050003051757813,12.069999694824219,2022-04-07
HOOD,"Robinhood Markets, Inc.",9.9499998092651367,8.496675,11.891900081634521,26.551439744639772,9.8050003051757813,12.510000228881836,2022-04-06
HOOD,"Robinhood Markets, Inc.",9.9499998092651367,8.496675,11.891900081634521,26.551439744639772,9.8050003051757813,13.029999732971191,2022-04-05
HOOD,"Robinhood Markets, Inc.",9.9499998092651367,8.496675,11.891900081634521,26.551439744639772,9.8050003051757813,13.829999923706055,2022-04-04
ARKK,ARK Innovation ETF,48.340000152587891,13.58281,61.431200103759764,94.94100002288819,47.130001068115234,48.590000152587891,2022-05-02
ARKK,ARK Innovation ETF,48.340000152587891,13.58281,61.431200103759764,94.94100002288819,47.130001068115234,47.130001068115234,2022-04-29
ARKK,ARK Innovation ETF,48.340000152587891,13.58281,61.431200103759764,94.94100002288819,47.130001068115234,48.869998931884766,2022-04-28
ARKK,ARK Innovation ETF,48.340000152587891,13.58281,61.431200103759764,94.94100002288819,47.130001068115234,49.560001373291016,2022-04-27
ARKK,ARK Innovation ETF,48.340000152587891,13.58281,61.431200103759764,94.94100002288819,47.130001068115234,50.680000305175781,2022-04-26
ARKK,ARK Innovation ETF,48.340000152587891,13.58281,61.431200103759764,94.94100002288819,47.130001068115234,54.349998474121094,2022-04-25
ARKK,ARK Innovation ETF,48.340000152587891,13.58281,61.431200103759764,94.94100002288819,47.130001068115234,52.459999084472656,2022-04-22
ARKK,ARK Innovation ETF,48.340000152587891,13.58281,61.431200103759764,94.94100002288819,47.130001068115234,53.340000152587891,2022-04-21
ARKK,ARK Innovation ETF,48.340000152587891,13.58281,61.431200103759764,94.94100002288819,47.130001068115234,56.130001068115234,2022-04-20
ARKK,ARK Innovation ETF,48.340000152587891,13.58281,61.431200103759764,94.94100002288819,47.130001068115234,59.669998168945313,2022-04-19
ARKK,ARK Innovation ETF,48.340000152587891,13.58281,61.431200103759764,94.94100002288819,47.130001068115234,57.349998474121094,2022-04-18
ARKK,ARK Innovation ETF,48.340000152587891,13.58281,61.431200103759764,94.94100002288819,47.130001068115234,58.9900016784668,2022-04-14
ARKK,ARK Innovation ETF,48.340000152587891,13.58281,61.431200103759764,94.94100002288819,47.130001068115234,61.729999542236328,2022-04-13
ARKK,ARK Innovation ETF,48.340000152587891,13.58281,61.431200103759764,94.94100002288819,47.130001068115234,59.840000152587891,2022-04-12
ARKK,ARK Innovation ETF,48.340000152587891,13.58281,61.431200103759764,94.94100002288819,47.130001068115234,59.840000152587891,2022-04-11
ARKK,ARK Innovation ETF,48.340000152587891,13.58281,61.431200103759764,94.94100002288819,47.130001068115234,60.650001525878906,2022-04-08
ARKK,ARK Innovation ETF,48.340000152587891,13.58281,61.431200103759764,94.94100002288819,47.130001068115234,62.659999847412109,2022-04-07
ARKK,ARK Innovation ETF,48.340000152587891,13.58281,61.431200103759764,94.94100002288819,47.130001068115234,63.400001525878906,2022-04-06
ARKK,ARK Innovation ETF,48.340000152587891,13.58281,61.431200103759764,94.94100002288819,47.130001068115234,66.4800033569336,2022-04-05
ARKK,ARK Innovation ETF,48.340000152587891,13.58281,61.431200103759764,94.94100002288819,47.130001068115234,70.5,2022-04-04
AMZN,"Amazon.com, Inc.",2419.0400390625,3.19726,3054.2452099609377,3277.5292602539062,2485.6298828125,2430.419921875,2022-05-02
AMZN,"Amazon.com, Inc.",2419.0400390625,3.19726,3054.2452099609377,3277.5292602539062,2485.6298828125,2485.6298828125,2022-04-29
AMZN,"Amazon.com, Inc.",2419.0400390625,3.19726,3054.2452099609377,3277.5292602539062,2485.6298828125,2891.929931640625,2022-04-28
AMZN,"Amazon.com, Inc.",2419.0400390625,3.19726,3054.2452099609377,3277.5292602539062,2485.6298828125,2763.340087890625,2022-04-27
AMZN,"Amazon.com, Inc.",2419.0400390625,3.19726,3054.2452099609377,3277.5292602539062,2485.6298828125,2787.820068359375,2022-04-26
AMZN,"Amazon.com, Inc.",2419.0400390625,3.19726,3054.2452099609377,3277.5292602539062,2485.6298828125,2921.47998046875,2022-04-25
AMZN,"Amazon.com, Inc.",2419.0400390625,3.19726,3054.2452099609377,3277.5292602539062,2485.6298828125,2887,2022-04-22
AMZN,"Amazon.com, Inc.",2419.0400390625,3.19726,3054.2452099609377,3277.5292602539062,2485.6298828125,2965.919921875,2022-04-21
AMZN,"Amazon.com, Inc.",2419.0400390625,3.19726,3054.2452099609377,3277.5292602539062,2485.6298828125,3079.9599609375,2022-04-20
AMZN,"Amazon.com, Inc.",2419.0400390625,3.19726,3054.2452099609377,3277.5292602539062,2485.6298828125,3162.31005859375,2022-04-19
AMZN,"Amazon.com, Inc.",2419.0400390625,3.19726,3054.2452099609377,3277.5292602539062,2485.6298828125,3055.699951171875,2022-04-18
AMZN,"Amazon.com, Inc.",2419.0400390625,3.19726,3054.2452099609377,3277.5292602539062,2485.6298828125,3034.1298828125,2022-04-14
AMZN,"Amazon.com, Inc.",2419.0400390625,3.19726,3054.2452099609377,3277.5292602539062,2485.6298828125,3110.820068359375,2022-04-13
AMZN,"Amazon.com, Inc.",2419.0400390625,3.19726,3054.2452099609377,3277.5292602539062,2485.6298828125,3015.75,2022-04-12
AMZN,"Amazon.com, Inc.",2419.0400390625,3.19726,3054.2452099609377,3277.5292602539062,2485.6298828125,3022.43994140625,2022-04-11
AMZN,"Amazon.com, Inc.",2419.0400390625,3.19726,3054.2452099609377,3277.5292602539062,2485.6298828125,3089.2099609375,2022-04-08
AMZN,"Amazon.com, Inc.",2419.0400390625,3.19726,3054.2452099609377,3277.5292602539062,2485.6298828125,3155.68994140625,2022-04-07
AMZN,"Amazon.com, Inc.",2419.0400390625,3.19726,3054.2452099609377,3277.5292602539062,2485.6298828125,3175.1201171875,2022-04-06
AMZN,"Amazon.com, Inc.",2419.0400390625,3.19726,3054.2452099609377,3277.5292602539062,2485.6298828125,3281.10009765625,2022-04-05
AMZN,"Amazon.com, Inc.",2419.0400390625,3.19726,3054.2452099609377,3277.5292602539062,2485.6298828125,3366.929931640625,2022-04-04
TSLA,"Tesla, Inc.",877.1099853515625,10.596276,935.568994140625,904.18314605712885,870.760009765625,875.75,2022-05-02
TSLA,"Tesla, Inc.",877.1099853515625,10.596276,935.568994140625,904.18314605712885,870.760009765625,870.760009765625,2022-04-29
TSLA,"Tesla, Inc.",877.1099853515625,10.596276,935.568994140625,904.18314605712885,870.760009765625,877.510009765625,2022-04-28
TSLA,"Tesla, Inc.",877.1099853515625,10.596276,935.568994140625,904.18314605712885,870.760009765625,881.510009765625,2022-04-27
TSLA,"Tesla, Inc.",877.1099853515625,10.596276,935.568994140625,904.18314605712885,870.760009765625,876.41998291015625,2022-04-26
TSLA,"Tesla, Inc.",877.1099853515625,10.596276,935.568994140625,904.18314605712885,870.760009765625,998.02001953125,2022-04-25
TSLA,"Tesla, Inc.",877.1099853515625,10.596276,935.568994140625,904.18314605712885,870.760009765625,1005.0499877929687,2022-04-22
TSLA,"Tesla, Inc.",877.1099853515625,10.596276,935.568994140625,904.18314605712885,870.760009765625,1008.780029296875,2022-04-21
TSLA,"Tesla, Inc.",877.1099853515625,10.596276,935.568994140625,904.18314605712885,870.760009765625,977.20001220703125,2022-04-20
TSLA,"Tesla, Inc.",877.1099853515625,10.596276,935.568994140625,904.18314605712885,870.760009765625,1028.1500244140625,2022-04-19
TSLA,"Tesla, Inc.",877.1099853515625,10.596276,935.568994140625,904.18314605712885,870.760009765625,1004.2899780273437,2022-04-18
TSLA,"Tesla, Inc.",877.1099853515625,10.596276,935.568994140625,904.18314605712885,870.760009765625,985,2022-04-14
TSLA,"Tesla, Inc.",877.1099853515625,10.596276,935.568994140625,904.18314605712885,870.760009765625,1022.3699951171875,2022-04-13
TSLA,"Tesla, Inc.",877.1099853515625,10.596276,935.568994140625,904.18314605712885,870.760009765625,986.95001220703125,2022-04-12
TSLA,"Tesla, Inc.",877.1099853515625,10.596276,935.568994140625,904.18314605712885,870.760009765625,975.92999267578125,2022-04-11
TSLA,"Tesla, Inc.",877.1099853515625,10.596276,935.568994140625,904.18314605712885,870.760009765625,1025.489990234375,2022-04-08
TSLA,"Tesla, Inc.",877.1099853515625,10.596276,935.568994140625,904.18314605712885,870.760009765625,1057.260009765625,2022-04-07
TSLA,"Tesla, Inc.",877.1099853515625,10.596276,935.568994140625,904.18314605712885,870.760009765625,1045.760009765625,2022-04-06
TSLA,"Tesla, Inc.",877.1099853515625,10.596276,935.568994140625,904.18314605712885,870.760009765625,1091.260009765625,2022-04-05
TSLA,"Tesla, Inc.",877.1099853515625,10.596276,935.568994140625,904.18314605712885,870.760009765625,1145.449951171875,2022-04-04
LIFE,"aTyr Pharma, Inc.",4.195000171661377,0.013415,5.028599996566772,6.5853750133514408,4.1599998474121094,4.195000171661377,2022-05-02
LIFE,"aTyr Pharma, Inc.",4.195000171661377,0.013415,5.028599996566772,6.5853750133514408,4.1599998474121094,4.1599998474121094,2022-04-29
LIFE,"aTyr Pharma, Inc.",4.195000171661377,0.013415,5.028599996566772,6.5853750133514408,4.1599998474121094,4.179999828338623,2022-04-28
LIFE,"aTyr Pharma, Inc.",4.195000171661377,0.013415,5.028599996566772,6.5853750133514408,4.1599998474121094,4.1999998092651367,2022-04-27
LIFE,"aTyr Pharma, Inc.",4.195000171661377,0.013415,5.028599996566772,6.5853750133514408,4.1599998474121094,4.2600002288818359,2022-04-26
LIFE,"aTyr Pharma, Inc.",4.195000171661377,0.013415,5.028599996566772,6.5853750133514408,4.1599998474121094,4.3600001335144043,2022-04-25
LIFE,"aTyr Pharma, Inc.",4.195000171661377,0.013415,5.028599996566772,6.5853750133514408,4.1599998474121094,4.320000171661377,2022-04-22
LIFE,"aTyr Pharma, Inc.",4.195000171661377,0.013415,5.028599996566772,6.5853750133514408,4.1599998474121094,4.4099998474121094,2022-04-21
LIFE,"aTyr Pharma, Inc.",4.195000171661377,0.013415,5.028599996566772,6.5853750133514408,4.1599998474121094,4.559999942779541,2022-04-20
LIFE,"aTyr Pharma, Inc.",4.195000171661377,0.013415,5.028599996566772,6.5853750133514408,4.1599998474121094,4.53000020980835,2022-04-19
LIFE,"aTyr Pharma, Inc.",4.195000171661377,0.013415,5.028599996566772,6.5853750133514408,4.1599998474121094,4.559999942779541,2022-04-18
LIFE,"aTyr Pharma, Inc.",4.195000171661377,0.013415,5.028599996566772,6.5853750133514408,4.1599998474121094,4.9499998092651367,2022-04-14
LIFE,"aTyr Pharma, Inc.",4.195000171661377,0.013415,5.028599996566772,6.5853750133514408,4.1599998474121094,5.0900001525878906,2022-04-13
LIFE,"aTyr Pharma, Inc.",4.195000171661377,0.013415,5.028599996566772,6.5853750133514408,4.1599998474121094,4.7399997711181641,2022-04-12
LIFE,"aTyr Pharma, Inc.",4.195000171661377,0.013415,5.028599996566772,6.5853750133514408,4.1599998474121094,4.9000000953674316,2022-04-11
LIFE,"aTyr Pharma, Inc.",4.195000171661377,0.013415,5.028599996566772,6.5853750133514408,4.1599998474121094,5.0799999237060547,2022-04-08
LIFE,"aTyr Pharma, Inc.",4.195000171661377,0.013415,5.028599996566772,6.5853750133514408,4.1599998474121094,5.2300000190734863,2022-04-07
LIFE,"aTyr Pharma, Inc.",4.195000171661377,0.013415,5.028599996566772,6.5853750133514408,4.1599998474121094,5.3600001335144043,2022-04-06
LIFE,"aTyr Pharma, Inc.",4.195000171661377,0.013415,5.028599996566772,6.5853750133514408,4.1599998474121094,5.5100002288818359,2022-04-05
LIFE,"aTyr Pharma, Inc.",4.195000171661377,0.013415,5.028599996566772,6.5853750133514408,4.1599998474121094,5.6100001335144043,2022-04-04
HOOD,"Robinhood Markets, Inc.",9.9875001907348633,8.546017,11.891900081634521,26.551439744639772,9.8050003051757813,9.994999885559082,2022-05-02
HOOD,"Robinhood Markets, Inc.",9.9875001907348633,8.546017,11.891900081634521,26.551439744639772,9.8050003051757813,9.8050003051757813,2022-04-29
HOOD,"Robinhood Markets, Inc.",9.9875001907348633,8.546017,11.891900081634521,26.551439744639772,9.8050003051757813,10.090000152587891,2022-04-28
HOOD,"Robinhood Markets, Inc.",9.9875001907348633,8.546017,11.891900081634521,26.551439744639772,9.8050003051757813,9.5100002288818359,2022-04-27
HOOD,"Robinhood Markets, Inc.",9.9875001907348633,8.546017,11.891900081634521,26.551439744639772,9.8050003051757813,10,2022-04-26
HOOD,"Robinhood Markets, Inc.",9.9875001907348633,8.546017,11.891900081634521,26.551439744639772,9.8050003051757813,10.390000343322754,2022-04-25
HOOD,"Robinhood Markets, Inc.",9.9875001907348633,8.546017,11.891900081634521,26.551439744639772,9.8050003051757813,10.260000228881836,2022-04-22
HOOD,"Robinhood Markets, Inc.",9.9875001907348633,8.546017,11.891900081634521,26.551439744639772,9.8050003051757813,10.4399995803833,2022-04-21
HOOD,"Robinhood Markets, Inc.",9.9875001907348633,8.546017,11.891900081634521,26.551439744639772,9.8050003051757813,10.710000038146973,2022-04-20
HOOD,"Robinhood Markets, Inc.",9.9875001907348633,8.546017,11.891900081634521,26.551439744639772,9.8050003051757813,11.5600004196167,2022-04-19
HOOD,"Robinhood Markets, Inc.",9.9875001907348633,8.546017,11.891900081634521,26.551439744639772,9.8050003051757813,10.989999771118164,2022-04-18
HOOD,"Robinhood Markets, Inc.",9.9875001907348633,8.546017,11.891900081634521,26.551439744639772,9.8050003051757813,11.380000114440918,2022-04-14
HOOD,"Robinhood Markets, Inc.",9.9875001907348633,8.546017,11.891900081634521,26.551439744639772,9.8050003051757813,11.890000343322754,2022-04-13
HOOD,"Robinhood Markets, Inc.",9.9875001907348633,8.546017,11.891900081634521,26.551439744639772,9.8050003051757813,11.430000305175781,2022-04-12
HOOD,"Robinhood Markets, Inc.",9.9875001907348633,8.546017,11.891900081634521,26.551439744639772,9.8050003051757813,11.350000381469727,2022-04-11
HOOD,"Robinhood Markets, Inc.",9.9875001907348633,8.546017,11.891900081634521,26.551439744639772,9.8050003051757813,11.239999771118164,2022-04-08
HOOD,"Robinhood Markets, Inc.",9.9875001907348633,8.546017,11.891900081634521,26.551439744639772,9.8050003051757813,12.069999694824219,2022-04-07
HOOD,"Robinhood Markets, Inc.",9.9875001907348633,8.546017,11.891900081634521,26.551439744639772,9.8050003051757813,12.510000228881836,2022-04-06
HOOD,"Robinhood Markets, Inc.",9.9875001907348633,8.546017,11.891900081634521,26.551439744639772,9.8050003051757813,13.029999732971191,2022-04-05
HOOD,"Robinhood Markets, Inc.",9.9875001907348633,8.546017,11.891900081634521,26.551439744639772,9.8050003051757813,13.829999923706055,2022-04-04
ARKK,ARK Innovation ETF,48.560001373291016,13.659826,61.431200103759764,94.94100002288819,47.130001068115234,48.439998626708984,2022-05-02
ARKK,ARK Innovation ETF,48.560001373291016,13.659826,61.431200103759764,94.94100002288819,47.130001068115234,47.130001068115234,2022-04-29
ARKK,ARK Innovation ETF,48.560001373291016,13.659826,61.431200103759764,94.94100002288819,47.130001068115234,48.869998931884766,2022-04-28
ARKK,ARK Innovation ETF,48.560001373291016,13.659826,61.431200103759764,94.94100002288819,47.130001068115234,49.560001373291016,2022-04-27
ARKK,ARK Innovation ETF,48.560001373291016,13.659826,61.431200103759764,94.94100002288819,47.130001068115234,50.680000305175781,2022-04-26
ARKK,ARK Innovation ETF,48.560001373291016,13.659826,61.431200103759764,94.94100002288819,47.130001068115234,54.349998474121094,2022-04-25
ARKK,ARK Innovation ETF,48.560001373291016,13.659826,61.431200103759764,94.94100002288819,47.130001068115234,52.459999084472656,2022-04-22
ARKK,ARK Innovation ETF,48.560001373291016,13.659826,61.431200103759764,94.94100002288819,47.130001068115234,53.340000152587891,2022-04-21
ARKK,ARK Innovation ETF,48.560001373291016,13.659826,61.431200103759764,94.94100002288819,47.130001068115234,56.130001068115234,2022-04-20
ARKK,ARK Innovation ETF,48.560001373291016,13.659826,61.431200103759764,94.94100002288819,47.130001068115234,59.669998168945313,2022-04-19
ARKK,ARK Innovation ETF,48.560001373291016,13.659826,61.431200103759764,94.94100002288819,47.130001068115234,57.349998474121094,2022-04-18
ARKK,ARK Innovation ETF,48.560001373291016,13.659826,61.431200103759764,94.94100002288819,47.130001068115234,58.9900016784668,2022-04-14
ARKK,ARK Innovation ETF,48.560001373291016,13.659826,61.431200103759764,94.94100002288819,47.130001068115234,61.729999542236328,2022-04-13
ARKK,ARK Innovation ETF,48.560001373291016,13.659826,61.431200103759764,94.94100002288819,47.130001068115234,59.840000152587891,2022-04-12
ARKK,ARK Innovation ETF,48.560001373291016,13.659826,61.431200103759764,94.94100002288819,47.130001068115234,59.840000152587891,2022-04-11
ARKK,ARK Innovation ETF,48.560001373291016,13.659826,61.431200103759764,94.94100002288819,47.130001068115234,60.650001525878906,2022-04-08
ARKK,ARK Innovation ETF,48.560001373291016,13.659826,61.431200103759764,94.94100002288819,47.130001068115234,62.659999847412109,2022-04-07
ARKK,ARK Innovation ETF,48.560001373291016,13.659826,61.431200103759764,94.94100002288819,47.130001068115234,63.400001525878906,2022-04-06
ARKK,ARK Innovation ETF,48.560001373291016,13.659826,61.431200103759764,94.94100002288819,47.130001068115234,66.4800033569336,2022-04-05
ARKK,ARK Innovation ETF,48.560001373291016,13.659826,61.431200103759764,94.94100002288819,47.130001068115234,70.5,2022-04-04
AMZN,"Amazon.com, Inc.",2426.264404296875,3.211932,3054.2452099609377,3277.5292602539062,2485.6298828125,2426.364501953125,2022-05-02
AMZN,"Amazon.com, Inc.",2426.264404296875,3.211932,3054.2452099609377,3277.5292602539062,2485.6298828125,2485.6298828125,2022-04-29
AMZN,"Amazon.com, Inc.",2426.264404296875,3.211932,3054.2452099609377,3277.5292602539062,2485.6298828125,2891.929931640625,2022-04-28
AMZN,"Amazon.com, Inc.",2426.264404296875,3.211932,3054.2452099609377,3277.5292602539062,2485.6298828125,2763.340087890625,2022-04-27
AMZN,"Amazon.com, Inc.",2426.264404296875,3.211932,3054.2452099609377,3277.5292602539062,2485.6298828125,2787.820068359375,2022-04-26
AMZN,"Amazon.com, Inc.",2426.264404296875,3.211932,3054.2452099609377,3277.5292602539062,2485.6298828125,2921.47998046875,2022-04-25
AMZN,"Amazon.com, Inc.",2426.264404296875,3.211932,3054.2452099609377,3277.5292602539062,2485.6298828125,2887,2022-04-22
AMZN,"Amazon.com, Inc.",2426.264404296875,3.211932,3054.2452099609377,3277.5292602539062,2485.6298828125,2965.919921875,2022-04-21
AMZN,"Amazon.com, Inc.",2426.264404296875,3.211932,3054.2452099609377,3277.5292602539062,2485.6298828125,3079.9599609375,2022-04-20
AMZN,"Amazon.com, Inc.",2426.264404296875,3.211932,3054.2452099609377,3277.5292602539062,2485.6298828125,3162.31005859375,2022-04-19
AMZN,"Amazon.com, Inc.",2426.264404296875,3.211932,3054.2452099609377,3277.5292602539062,2485.6298828125,3055.699951171875,2022-04-18
AMZN,"Amazon.com, Inc.",2426.264404296875,3.211932,3054.2452099609377,3277.5292602539062,2485.6298828125,3034.1298828125,2022-04-14
AMZN,"Amazon.com, Inc.",2426.264404296875,3.211932,3054.2452099609377,3277.5292602539062,2485.6298828125,3110.820068359375,2022-04-13
AMZN,"Amazon.com, Inc.",2426.264404296875,3.211932,3054.2452099609377,3277.5292602539062,2485.6298828125,3015.75,2022-04-12
AMZN,"Amazon.com, Inc.",2426.264404296875,3.211932,3054.2452099609377,3277.5292602539062,2485.6298828125,3022.43994140625,2022-04-11
AMZN,"Amazon.com, Inc.",2426.264404296875,3.211932,3054.2452099609377,3277.5292602539062,2485.6298828125,3089.2099609375,2022-04-08
AMZN,"Amazon.com, Inc.",2426.264404296875,3.211932,3054.2452099609377,3277.5292602539062,2485.6298828125,3155.68994140625,2022-04-07
AMZN,"Amazon.com, Inc.",2426.264404296875,3.211932,3054.2452099609377,3277.5292602539062,2485.6298828125,3175.1201171875,2022-04-06
AMZN,"Amazon.com, Inc.",2426.264404296875,3.211932,3054.2452099609377,3277.5292602539062,2485.6298828125,3281.10009765625,2022-04-05
AMZN,"Amazon.com, Inc.",2426.264404296875,3.211932,3054.2452099609377,3277.5292602539062,2485.6298828125,3366.929931640625,2022-04-04
TSLA,"Tesla, Inc.",875.5,10.616852,935.568994140625,904.18314605712885,870.760009765625,875.42999267578125,2022-05-02
TSLA,"Tesla, Inc.",875.5,10.616852,935.568994140625,904.18314605712885,870.760009765625,870.760009765625,2022-04-29
TSLA,"Tesla, Inc.",875.5,10.616852,935.568994140625,904.18314605712885,870.760009765625,877.510009765625,2022-04-28
TSLA,"Tesla, Inc.",875.5,10.616852,935.568994140625,904.18314605712885,870.760009765625,881.510009765625,2022-04-27
TSLA,"Tesla, Inc.",875.5,10.616852,935.568994140625,904.18314605712885,870.760009765625,876.41998291015625,2022-04-26
TSLA,"Tesla, Inc.",875.5,10.616852,935.568994140625,904.18314605712885,870.760009765625,998.02001953125,2022-04-25
TSLA,"Tesla, Inc.",875.5,10.616852,935.568994140625,904.18314605712885,870.760009765625,1005.0499877929687,2022-04-22
TSLA,"Tesla, Inc.",875.5,10.616852,935.568994140625,904.18314605712885,870.760009765625,1008.780029296875,2022-04-21
TSLA,"Tesla, Inc.",875.5,10.616852,935.568994140625,904.18314605712885,870.760009765625,977.20001220703125,2022-04-20
TSLA,"Tesla, Inc.",875.5,10.616852,935.568994140625,904.18314605712885,870.760009765625,1028.1500244140625,2022-04-19
TSLA,"Tesla, Inc.",875.5,10.616852,935.568994140625,904.18314605712885,870.760009765625,1004.2899780273437,2022-04-18
TSLA,"Tesla, Inc.",875.5,10.616852,935.568994140625,904.18314605712885,870.760009765625,985,2022-04-14
TSLA,"Tesla, Inc.",875.5,10.616852,935.568994140625,904.18314605712885,870.760009765625,1022.3699951171875,2022-04-13
TSLA,"Tesla, Inc.",875.5,10.616852,935.568994140625,904.18314605712885,870.760009765625,986.95001220703125,2022-04-12
TSLA,"Tesla, Inc.",875.5,10.616852,935.568994140625,904.18314605712885,870.760009765625,975.92999267578125,2022-04-11
TSLA,"Tesla, Inc.",875.5,10.616852,935.568994140625,904.18314605712885,870.760009765625,1025.489990234375,2022-04-08
TSLA,"Tesla, Inc.",875.5,10.616852,935.568994140625,904.18314605712885,870.760009765625,1057.260009765625,2022-04-07
TSLA,"Tesla, Inc.",875.5,10.616852,935.568994140625,904.18314605712885,870.760009765625,1045.760009765625,2022-04-06
TSLA,"Tesla, Inc.",875.5,10.616852,935.568994140625,904.18314605712885,870.760009765625,1091.260009765625,2022-04-05
TSLA,"Tesla, Inc.",875.5,10.616852,935.568994140625,904.18314605712885,870.760009765625,1145.449951171875,2022-04-04
LIFE,"aTyr Pharma, Inc.",4.195000171661377,0.013415,5.028599996566772,6.5853750133514408,4.1599998474121094,4.195000171661377,2022-05-02
LIFE,"aTyr Pharma, Inc.",4.195000171661377,0.013415,5.028599996566772,6.5853750133514408,4.1599998474121094,4.1599998474121094,2022-04-29
LIFE,"aTyr Pharma, Inc.",4.195000171661377,0.013415,5.028599996566772,6.5853750133514408,4.1599998474121094,4.179999828338623,2022-04-28
LIFE,"aTyr Pharma, Inc.",4.195000171661377,0.013415,5.028599996566772,6.5853750133514408,4.1599998474121094,4.1999998092651367,2022-04-27
LIFE,"aTyr Pharma, Inc.",4.195000171661377,0.013415,5.028599996566772,6.5853750133514408,4.1599998474121094,4.2600002288818359,2022-04-26
LIFE,"aTyr Pharma, Inc.",4.195000171661377,0.013415,5.028599996566772,6.5853750133514408,4.1599998474121094,4.3600001335144043,2022-04-25
LIFE,"aTyr Pharma, Inc.",4.195000171661377,0.013415,5.028599996566772,6.5853750133514408,4.1599998474121094,4.320000171661377,2022-04-22
LIFE,"aTyr Pharma, Inc.",4.195000171661377,0.013415,5.028599996566772,6.5853750133514408,4.1599998474121094,4.4099998474121094,2022-04-21
LIFE,"aTyr Pharma, Inc.",4.195000171661377,0.013415,5.028599996566772,6.5853750133514408,4.1599998474121094,4.559999942779541,2022-04-20
LIFE,"aTyr Pharma, Inc.",4.195000171661377,0.013415,5.028599996566772,6.5853750133514408,4.1599998474121094,4.53000020980835,2022-04-19
LIFE,"aTyr Pharma, Inc.",4.195000171661377,0.013415,5.028599996566772,6.5853750133514408,4.1599998474121094,4.559999942779541,2022-04-18
LIFE,"aTyr Pharma, Inc.",4.195000171661377,0.013415,5.028599996566772,6.5853750133514408,4.1599998474121094,4.9499998092651367,2022-04-14
LIFE,"aTyr Pharma, Inc.",4.195000171661377,0.013415,5.028599996566772,6.5853750133514408,4.1599998474121094,5.0900001525878906,2022-04-13
LIFE,"aTyr Pharma, Inc.",4.195000171661377,0.013415,5.028599996566772,6.5853750133514408,4.1599998474121094,4.7399997711181641,2022-04-12
